Ra      , Ta      , nz      , nx      , ny      , S       , Ro_p    , Ro_c    , Ro      , Re      , Nu
1.02E+02, 1.00E+02, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 1.80E+00, 1.01E+00, 4.42E-01, 6.26E+00, 2.06E+00
3.54E+02, 1.00E+03, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 1.41E+00, 5.95E-01, 3.10E-01, 1.01E+01, 2.33E+00
1.45E+03, 1.00E+04, 6.40E+01, 6.40E+01, 6.40E+01, 2.00E+00, 1.20E+00, 3.81E-01, 2.32E-01, 1.72E+01, 2.70E+00
3.69E+05, 4.80E+07, 2.56E+02, 1.28E+02, 1.28E+02, 2.00E+00, 8.00E-01, 8.77E-02, 7.69E-02, 1.14E+02, 4.26E+00
2.95E+06, 1.10E+09, 5.12E+02, 1.28E+02, 1.28E+02, 2.00E+00, 7.00E-01, 5.18E-02, 5.32E-02, 2.42E+02, 6.01E+00
1.60E+04, 1.00E+06, 1.28E+02, 1.28E+02, 1.28E+02, 1.10E+00, 7.11E-01, 1.26E-01, 2.90E-02, 1.09E+01, 1.25E+00
7.31E+04, 1.00E+07, 1.28E+02, 1.28E+02, 1.28E+02, 1.10E+00, 6.41E-01, 8.55E-02, 2.06E-02, 1.67E+01, 1.27E+00
3.02E+01, 2.02E-01, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 1.00E+01, 1.22E+01, 4.42E+00, 5.00E+00, 2.13E+00
3.44E+01, 6.23E-01, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 7.00E+00, 7.43E+00, 2.90E+00, 5.52E+00, 2.24E+00
3.88E+01, 1.80E+00, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 5.00E+00, 4.65E+00, 1.93E+00, 6.06E+00, 2.34E+00
5.84E+01, 1.00E+01, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 3.22E+00, 2.42E+00, 1.13E+00, 6.87E+00, 2.46E+00
1.53E+02, 1.00E+02, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 2.20E+00, 1.24E+00, 7.03E-01, 9.51E+00, 2.77E+00
5.30E+02, 1.00E+03, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 1.73E+00, 7.28E-01, 5.09E-01, 1.54E+01, 3.38E+00
2.17E+03, 1.00E+04, 6.40E+01, 6.40E+01, 6.40E+01, 3.00E+00, 1.47E+00, 4.66E-01, 3.92E-01, 2.64E+01, 4.29E+00
9.59E+03, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 3.00E+00, 1.31E+00, 3.10E-01, 3.08E-01, 4.68E+01, 5.46E+00
4.37E+04, 1.00E+06, 1.28E+02, 1.28E+02, 1.28E+02, 3.00E+00, 1.18E+00, 2.09E-01, 2.33E-01, 8.00E+01, 6.56E+00
1.99E+05, 1.00E+07, 1.28E+02, 1.28E+02, 1.28E+02, 3.00E+00, 1.06E+00, 1.41E-01, 1.73E-01, 1.35E+02, 7.70E+00
2.04E+06, 3.42E+08, 5.12E+02, 1.28E+02, 1.28E+02, 3.00E+00, 9.00E-01, 7.72E-02, 1.09E-01, 3.06E+02, 9.68E+00
1.32E+07, 5.63E+09, 5.12E+02, 1.28E+02, 1.28E+02, 3.00E+00, 8.00E-01, 4.84E-02, 8.03E-02, 5.92E+02, 1.36E+01
1.28E+04, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 4.00E+00, 1.51E+00, 3.58E-01, 4.15E-01, 6.05E+01, 7.07E+00
1.60E+04, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 5.00E+00, 1.69E+00, 4.00E-01, 5.16E-01, 7.14E+01, 8.49E+00
1.92E+04, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 6.00E+00, 1.85E+00, 4.38E-01, 6.00E-01, 8.07E+01, 9.33E+00
3.20E+04, 1.00E+05, 1.28E+02, 1.28E+02, 1.28E+02, 1.00E+01, 2.39E+00, 5.66E-01, 9.04E-01, 1.13E+02, 1.24E+01
